Target,index,lag_1,debt,stocks,dow_jones,markets,unemployment,money,stock_market,crisis,nasdaq,finance,invest
1,0,0,0.04,0.0,0.0,-0.04,0.0,0.02,0.0,0.04,-0.01,0.01,-0.01
1,1,1,-0.02,-0.06,0.0,0.0,-0.01,-0.05,0.0,-0.01,-0.07,-0.02,-0.02
0,2,1,-0.02,-0.06,0.0,-0.1,0.0,0.02,0.0,0.07,-0.09,0.0,0.02
0,3,0,-0.01,-0.01,-0.01,0.05,0.0,0.03,-0.01,0.07,-0.08,0.01,-0.04
1,4,0,0.0,0.0,-0.01,0.09,0.0,0.06,0.0,0.06,-0.05,-0.02,0.05
0,5,1,0.02,0.0,0.0,0.11,-0.01,0.02,0.0,-0.03,0.0,0.01,0.06
0,6,0,-0.05,-0.01,0.01,0.04,-0.01,0.01,0.02,-0.06,0.08,0.03,0.04
1,7,0,-0.05,-0.05,0.01,-0.06,0.0,-0.03,-0.01,0.0,0.04,0.02,-0.02
1,8,1,-0.01,-0.02,-0.01,0.03,-0.01,0.01,-0.02,0.11,0.24,-0.05,0.02
0,9,1,0.02,-0.01,0.0,-0.04,0.01,0.0,-0.01,0.09,0.44,-0.04,0.06
1,10,0,0.02,0.03,0.0,0.05,0.0,-0.02,0.01,0.06,-0.01,-0.01,0.01
1,11,1,0.01,-0.05,0.0,-0.07,0.01,-0.03,-0.01,-0.03,-0.26,0.07,-0.14
0,12,1,0.01,-0.02,0.0,0.03,-0.01,-0.01,0.0,0.01,-0.59,0.0,-0.05
0,13,0,0.03,0.0,-0.01,0.03,0.0,0.05,-0.01,-0.01,-0.03,0.01,0.02
0,14,0,0.01,0.06,0.0,0.15,0.0,0.0,0.02,0.03,-0.03,-0.04,0.14
0,15,0,-0.01,-0.04,-0.01,-0.05,-0.01,-0.02,-0.02,-0.01,0.02,-0.03,-0.04
1,16,0,-0.04,-0.06,0.0,0.02,0.0,-0.03,0.0,0.02,-0.02,-0.04,-0.1
1,17,1,-0.04,-0.09,0.0,-0.08,0.0,-0.02,-0.01,-0.07,0.0,-0.01,-0.1
1,18,1,-0.01,0.01,0.0,0.03,0.01,-0.03,-0.01,-0.08,-0.03,0.0,0.01
1,19,1,0.04,0.04,0.0,0.05,0.0,0.0,-0.01,-0.15,0.03,0.0,0.05
