Target,index,lag_1,debt,stocks,dow_jones,markets,unemployment,money,stock_market,crisis,nasdaq,finance,invest
1,0,0,0.263,0.313,0.02,0.46,0.047,0.383,0.09,0.337,0.357,0.39,0.213
1,1,1,0.257,0.293,0.02,0.427,0.047,0.39,0.09,0.36,0.327,0.39,0.22
0,2,1,0.253,0.29,0.017,0.443,0.047,0.4,0.087,0.383,0.3,0.393,0.207
0,3,0,0.253,0.29,0.013,0.473,0.047,0.42,0.087,0.403,0.283,0.387,0.223
1,4,0,0.26,0.29,0.013,0.51,0.043,0.427,0.087,0.393,0.283,0.39,0.243
0,5,1,0.243,0.287,0.017,0.523,0.04,0.43,0.093,0.373,0.31,0.4,0.257
0,6,0,0.227,0.27,0.02,0.503,0.04,0.42,0.09,0.373,0.323,0.407,0.25
1,7,0,0.223,0.263,0.017,0.513,0.037,0.423,0.083,0.41,0.403,0.39,0.257
1,8,1,0.23,0.26,0.017,0.5,0.04,0.423,0.08,0.44,0.55,0.377,0.277
0,9,1,0.237,0.27,0.017,0.517,0.04,0.417,0.083,0.46,0.547,0.373,0.28
1,10,0,0.24,0.253,0.017,0.493,0.043,0.407,0.08,0.45,0.46,0.397,0.233
1,11,1,0.243,0.247,0.017,0.503,0.04,0.403,0.08,0.453,0.263,0.397,0.217
0,12,1,0.253,0.247,0.013,0.513,0.04,0.42,0.077,0.45,0.253,0.4,0.223
0,13,0,0.257,0.267,0.013,0.563,0.04,0.42,0.083,0.46,0.243,0.387,0.27
0,14,0,0.253,0.253,0.01,0.547,0.037,0.413,0.077,0.457,0.25,0.377,0.257
0,15,0,0.24,0.233,0.01,0.553,0.037,0.403,0.077,0.463,0.243,0.363,0.223
1,16,0,0.227,0.203,0.01,0.527,0.037,0.397,0.073,0.44,0.243,0.36,0.19
1,17,1,0.223,0.207,0.01,0.537,0.04,0.387,0.07,0.413,0.233,0.36,0.193
1,18,1,0.237,0.22,0.01,0.553,0.04,0.387,0.067,0.363,0.243,0.36,0.21
1,19,1,0.23,0.23,0.01,0.553,0.04,0.387,0.063,0.327,0.247,0.363,0.213
0,20,1,0.227,0.23,0.01,0.533,0.037,0.383,0.063,0.297,0.27,0.387,0.21
0,21,0,0.22,0.213,0.01,0.497,0.037,0.383,0.06,0.273,0.253,0.397,0.223
0,22,0,0.227,0.21,0.01,0.493,0.037,0.4,0.06,0.25,0.23,0.407,0.25
0,23,0,0.233,0.203,0.01,0.51,0.04,0.403,0.057,0.237,0.223,0.387,0.257
0,24,0,0.233,0.21,0.01,0.533,0.04,0.403,0.057,0.237,0.233,0.383,0.25
1,25,0,0.247,0.207,0.01,0.537,0.04,0.383,0.057,0.26,0.273,0.38,0.237
0,26,1,0.243,0.213,0.01,0.53,0.04,0.383,0.063,0.263,0.26,0.387,0.227
1,27,0,0.247,0.213,0.01,0.523,0.04,0.383,0.06,0.25,0.25,0.387,0.217
1,28,1,0.233,0.223,0.01,0.487,0.037,0.387,0.06,0.24,0.253,0.38,0.21
1,29,1,0.23,0.213,0.01,0.47,0.037,0.383,0.053,0.25,0.257,0.37,0.203
1,30,1,0.217,0.21,0.01,0.46,0.04,0.36,0.053,0.27,0.23,0.367,0.19
1,31,1,0.23,0.2,0.01,0.473,0.043,0.363,0.05,0.283,0.197,0.363,0.2
0,32,1,0.23,0.21,0.01,0.483,0.043,0.37,0.053,0.307,0.187,0.37,0.2
0,33,0,0.247,0.22,0.01,0.483,0.04,0.393,0.06,0.337,0.21,0.38,0.22
1,34,0,0.25,0.227,0.01,0.5,0.04,0.393,0.07,0.35,0.217,0.397,0.21
0,35,1,0.257,0.237,0.01,0.527,0.04,0.397,0.077,0.363,0.24,0.397,0.203
0,36,0,0.26,0.237,0.01,0.57,0.04,0.387,0.077,0.36,0.25,0.383,0.2
0,37,0,0.26,0.237,0.01,0.61,0.04,0.393,0.077,0.353,0.257,0.377,0.217
1,38,0,0.26,0.233,0.01,0.637,0.04,0.39,0.08,0.347,0.233,0.38,0.25
1,39,1,0.263,0.233,0.01,0.623,0.04,0.39,0.09,0.347,0.24,0.38,0.257
1,40,1,0.25,0.247,0.01,0.573,0.04,0.383,0.09,0.363,0.25,0.37,0.247
0,41,1,0.27,0.253,0.01,0.523,0.04,0.387,0.087,0.387,0.267,0.37,0.233
1,42,0,0.267,0.263,0.01,0.483,0.037,0.39,0.083,0.39,0.25,0.37,0.237
1,43,1,0.283,0.277,0.01,0.48,0.037,0.403,0.087,0.407,0.27,0.377,0.26
0,44,1,0.26,0.29,0.01,0.457,0.037,0.403,0.09,0.403,0.277,0.377,0.267
1,45,0,0.24,0.3,0.01,0.437,0.04,0.407,0.087,0.423,0.307,0.387,0.253
1,46,1,0.21,0.297,0.01,0.443,0.037,0.39,0.083,0.36,0.277,0.377,0.22
