Target,index,lag_1,debt,stocks,dow_jones,markets,unemployment,money,stock_market,crisis,nasdaq,finance,invest
0,0,0,0.106,0.198,0.0,0.26,0.04,0.21,0.062,0.316,0.142,0.239,0.187
1,3,0,0.106,0.195,0.0,0.264,0.041,0.207,0.064,0.315,0.145,0.245,0.191
0,4,1,0.106,0.195,0.0,0.261,0.04,0.205,0.063,0.319,0.144,0.242,0.191
0,5,0,0.105,0.194,0.0,0.258,0.04,0.205,0.063,0.316,0.142,0.243,0.194
1,6,0,0.108,0.192,0.0,0.264,0.04,0.205,0.063,0.317,0.14,0.246,0.196
0,7,1,0.106,0.193,0.0,0.267,0.039,0.205,0.062,0.32,0.136,0.245,0.2
1,10,0,0.107,0.19,0.0,0.276,0.039,0.202,0.063,0.322,0.139,0.246,0.189
1,11,1,0.107,0.19,0.0,0.276,0.039,0.2,0.063,0.318,0.138,0.246,0.182
0,12,1,0.107,0.188,0.0,0.281,0.038,0.199,0.064,0.317,0.139,0.244,0.18
1,13,0,0.11,0.182,0.0,0.283,0.038,0.199,0.064,0.317,0.138,0.243,0.182
1,14,1,0.11,0.179,0.0,0.282,0.037,0.196,0.064,0.31,0.136,0.244,0.18
0,17,1,0.114,0.168,0.0,0.289,0.038,0.199,0.063,0.32,0.134,0.249,0.193
1,18,0,0.114,0.164,0.0,0.293,0.038,0.199,0.062,0.327,0.131,0.246,0.192
1,19,1,0.114,0.165,0.0,0.287,0.038,0.2,0.061,0.332,0.128,0.247,0.192
0,20,1,0.113,0.163,0.0,0.291,0.038,0.202,0.062,0.337,0.127,0.247,0.193
0,21,0,0.114,0.162,0.0,0.285,0.037,0.204,0.062,0.341,0.13,0.246,0.192
1,25,0,0.115,0.16,0.0,0.29,0.036,0.206,0.06,0.349,0.125,0.245,0.185
0,26,1,0.117,0.16,0.0,0.291,0.036,0.206,0.06,0.355,0.125,0.242,0.189
0,27,0,0.117,0.16,0.0,0.284,0.036,0.206,0.06,0.355,0.126,0.242,0.185
0,28,0,0.119,0.158,0.0,0.283,0.036,0.206,0.06,0.353,0.128,0.24,0.18
0,31,0,0.118,0.158,0.0,0.286,0.034,0.209,0.059,0.358,0.13,0.24,0.184
0,32,0,0.12,0.157,0.0,0.283,0.034,0.21,0.06,0.362,0.13,0.24,0.185
1,33,0,0.119,0.156,0.0,0.291,0.035,0.21,0.059,0.361,0.125,0.24,0.184
0,34,1,0.117,0.158,0.0,0.296,0.035,0.211,0.058,0.364,0.125,0.238,0.18
1,35,0,0.119,0.16,0.0,0.29,0.035,0.213,0.058,0.361,0.126,0.236,0.187
1,38,1,0.114,0.164,0.0,0.291,0.034,0.21,0.058,0.36,0.121,0.229,0.179
0,39,1,0.114,0.164,0.0,0.28,0.034,0.212,0.059,0.356,0.125,0.228,0.179
1,40,0,0.112,0.164,0.0,0.28,0.033,0.21,0.06,0.358,0.129,0.224,0.185
0,41,1,0.112,0.164,0.0,0.278,0.033,0.208,0.06,0.357,0.132,0.225,0.184
1,42,0,0.11,0.163,0.0,0.286,0.033,0.205,0.06,0.369,0.133,0.22,0.188
0,45,1,0.107,0.151,0.0,0.262,0.03,0.194,0.059,0.342,0.143,0.206,0.181
0,46,0,0.101,0.144,0.0,0.247,0.028,0.184,0.056,0.325,0.136,0.193,0.172
0,47,0,0.101,0.144,0.0,0.244,0.028,0.183,0.056,0.325,0.139,0.197,0.176
0,48,0,0.099,0.14,0.0,0.239,0.028,0.185,0.055,0.333,0.138,0.191,0.183
1,49,0,0.097,0.141,0.0,0.245,0.028,0.183,0.056,0.336,0.142,0.193,0.183
0,52,1,0.095,0.14,0.0,0.229,0.029,0.182,0.055,0.334,0.136,0.195,0.181
1,53,0,0.095,0.136,0.0,0.229,0.029,0.182,0.055,0.335,0.136,0.196,0.178
1,54,1,0.095,0.136,0.0,0.219,0.029,0.183,0.055,0.339,0.139,0.196,0.178
0,55,1,0.094,0.136,0.0,0.215,0.029,0.181,0.055,0.334,0.139,0.197,0.179
0,56,0,0.091,0.133,0.0,0.22,0.029,0.182,0.053,0.341,0.136,0.196,0.175
0,59,0,0.09,0.125,0.0,0.213,0.028,0.181,0.053,0.338,0.138,0.194,0.172
0,60,0,0.084,0.118,0.0,0.207,0.027,0.171,0.05,0.321,0.13,0.184,0.162
0,61,0,0.089,0.116,0.0,0.212,0.027,0.171,0.049,0.322,0.136,0.186,0.156
1,62,0,0.088,0.112,0.0,0.212,0.026,0.171,0.048,0.331,0.139,0.181,0.148
0,63,1,0.09,0.111,0.0,0.209,0.027,0.173,0.046,0.319,0.142,0.19,0.146
1,66,0,0.096,0.119,0.0,0.223,0.029,0.183,0.047,0.349,0.155,0.203,0.147
1,67,1,0.102,0.128,0.0,0.239,0.031,0.192,0.051,0.372,0.174,0.216,0.16
