date,adjusted
2004-01-01,3
2004-01-02,3
2004-01-03,3
2004-01-04,2
2004-01-05,4
2004-01-06,3
2004-01-07,5
2004-01-08,3
2004-01-09,5
2004-01-10,3
2004-01-11,3
2004-01-12,5
2004-01-13,3
2004-01-14,4
2004-01-15,4
2004-01-16,4
2004-01-17,3
2004-01-18,4
2004-01-19,4
2004-01-20,4
2004-01-21,4
2004-01-22,5
2004-01-23,4
2004-01-24,4
2004-01-25,4
2004-01-26,4
2004-01-27,4
2004-01-28,5
2004-01-29,4
2004-01-30,4
2004-01-31,2
2004-02-01,3
2004-02-02,5
2004-02-03,3
2004-02-04,4
2004-02-05,4
2004-02-06,5
2004-02-07,2
2004-02-08,2
2004-02-09,3
2004-02-10,4
2004-02-11,4
2004-02-12,5
2004-02-13,4
2004-02-14,2
2004-02-15,3
2004-02-16,3
2004-02-17,3
2004-02-18,4
2004-02-19,3
2004-02-20,4
2004-02-21,2
2004-02-22,2
2004-02-23,4
2004-02-24,4
2004-02-25,4
2004-02-26,5
2004-02-27,4
2004-02-28,1
2004-02-29,3
2004-03-01,3
2004-03-02,5
2004-03-03,4
2004-03-04,4
2004-03-05,3
2004-03-06,2
2004-03-07,4
2004-03-08,0
2004-03-09,0
2004-03-10,5
2004-03-11,2
2004-03-12,5
2004-03-13,2
2004-03-14,3
2004-03-15,3
2004-03-16,4
2004-03-17,4
2004-03-18,3
2004-03-19,2
2004-03-20,3
2004-03-21,1
2004-03-22,2
2004-03-23,0
2004-03-24,4
2004-03-25,4
2004-03-26,4
2004-03-27,2
2004-03-28,2
2004-03-29,2
2004-03-30,3
2004-03-31,5
2004-04-01,4
2004-04-02,3
2004-04-03,2
2004-04-04,3
2004-04-05,3
2004-04-06,4
2004-04-07,3
2004-04-08,5
2004-04-09,5
2004-04-10,2
2004-04-11,4
2004-04-12,0
2004-04-13,0
2004-04-14,3
2004-04-15,2
2004-04-16,3
2004-04-17,2
2004-04-18,2
2004-04-19,3
2004-04-20,4
2004-04-21,3
2004-04-22,3
2004-04-23,3
2004-04-24,2
2004-04-25,3
2004-04-26,3
2004-04-27,4
2004-04-28,4
2004-04-29,3
2004-04-30,3
2004-05-01,1
2004-05-02,4
2004-05-03,3
2004-05-04,4
2004-05-05,3
2004-05-06,4
2004-05-07,4
2004-05-08,2
2004-05-09,2
