date,start,unadjusted,pct_change,adjusted,normalised,monthly,debt,color,stocks,restaurant,portfolio,inflation,housing,dow_jones,revenue,economics,credit,markets,return,unemployment,money,religion,cancer,growth,investment,hedge,marriage,bonds,derivatives,headlines,profit,society,leverage,loss,cash,office,fine,stock_market,banking,crisis,happy,car,nasdaq,gains,finance,sell,invest,fed,house,metals,travel,returns,gain,default,present,holiday,water,rich,risk,gold,success,oil,war,economy,chance,lifestyle,greed,food,movie,nyse,ore,opportunity,health,earnings,arts,culture,bubble,buy,trader,tourism,politics,energy,consume,consumption,freedom,dividend,world,conflict,kitchen,forex,home,transaction,garden,fond,train,labor,fun,environment,ring,close
2004-01-01,0,57,NaN,23,5,13.0,0.07,0.14,0.21,0.61,0.26,0.11,0.31,0.0,0.05,0.23,0.29,0.4,0.45,0.03,0.19,0.5,0.28,0.59,0.47,0.24,0.04,0.14,0.01,0.16,0.27,0.62,0.01,0.25,0.07,0.27,0.74,0.09,0.15,0.45,0.08,0.59,0.16,0.18,0.13,0.54,0.0,0.15,0.32,0.19,0.43,0.05,0.24,0.17,0.16,0.07,0.11,0.18,0.34,0.12,0.09,0.15,0.17,0.16,0.04,0.13,0.24,0.34,0.56,0.0,0.4,0.08,0.16,0.12,0.38,0.17,0.3,0.24,0.37,0.66,0.1,0.2,0.0,0.33,0.26,0.01,0.15,0.4,0.38,0.31,0.57,0.28,0.36,0.38,0.2,0.02,0.6,0.11,0.5,10453.919921875
2004-01-02,0,56,0.98,23,5,12.967741935483868,0.13,0.15,0.24,0.49,0.47,0.06,0.69,0.0,0.08,0.15,0.41,0.28,0.3,0.03,0.25,0.33,0.23,0.39,0.55,0.17,0.04,0.16,0.0,0.17,0.45,0.6,0.01,0.41,0.11,0.45,0.44,0.06,0.16,0.26,0.06,0.6,0.12,0.11,0.19,0.52,0.21,0.31,0.32,0.12,0.39,0.07,0.19,0.23,0.08,0.06,0.12,0.15,0.54,0.11,0.09,0.16,0.15,0.21,0.05,0.35,0.1,0.28,0.47,0.01,0.34,0.14,0.22,0.11,0.42,0.12,0.27,0.19,0.35,0.7,0.08,0.29,0.01,0.34,0.25,0.18,0.16,0.26,0.33,0.13,0.53,0.12,0.3,0.16,0.17,0.03,0.47,0.12,0.51,10409.849609375
2004-01-03,0,35,0.62,14,3,12.93548387096774,0.09,0.17,0.16,0.47,0.31,0.07,0.4,0.0,0.05,0.16,0.36,0.11,0.37,0.02,0.2,0.34,0.3,0.4,0.47,0.08,0.04,0.1,0.01,0.17,0.38,0.63,0.01,0.41,0.09,0.37,0.69,0.06,0.11,0.39,0.04,0.66,0.06,0.3,0.18,0.67,0.19,0.16,0.33,0.07,0.43,0.12,0.26,0.19,0.11,0.04,0.13,0.16,0.36,0.11,0.11,0.18,0.22,0.25,0.04,0.32,0.01,0.32,0.54,0.0,0.21,0.14,0.17,0.1,0.38,0.09,0.3,0.21,0.39,0.61,0.06,0.22,0.0,0.23,0.25,0.28,0.15,0.38,0.38,0.25,0.54,0.25,0.27,0.6,0.2,0.02,0.42,0.12,0.57,10409.849609375
2004-01-04,0,22,0.63,9,2,12.903225806451616,0.1,0.17,0.17,0.41,0.3,0.18,0.36,0.0,0.06,0.26,0.3,0.27,0.38,0.05,0.24,0.45,0.33,0.43,0.39,0.13,0.08,0.12,0.01,0.09,0.14,0.65,0.01,0.42,0.09,0.34,0.44,0.02,0.09,0.2,0.04,0.59,0.08,0.16,0.13,0.41,0.16,0.13,0.3,0.17,0.42,0.07,0.19,0.21,0.14,0.04,0.12,0.14,0.33,0.11,0.11,0.15,0.23,0.25,0.04,0.23,0.01,0.33,0.48,0.0,0.21,0.11,0.17,0.07,0.47,0.17,0.32,0.22,0.3,0.53,0.06,0.26,0.0,0.27,0.25,0.16,0.16,0.43,0.44,0.16,0.57,0.15,0.29,0.2,0.24,0.04,0.47,0.19,0.57,10409.849609375
2004-01-05,0,92,4.18,38,9,12.870967741935484,0.06,0.15,0.15,0.32,0.29,0.21,0.55,0.0,0.04,0.24,0.26,0.38,0.41,0.03,0.23,0.44,0.35,0.37,0.55,0.0,0.11,0.05,0.04,0.3,0.22,0.56,0.01,0.45,0.1,0.37,0.45,0.07,0.09,0.2,0.02,0.62,0.2,0.01,0.13,0.49,0.22,0.15,0.32,0.11,0.46,0.05,0.2,0.4,0.35,0.06,0.14,0.13,0.22,0.11,0.16,0.13,0.25,0.21,0.05,0.16,0.01,0.33,0.45,0.0,0.5,0.19,0.22,0.23,0.55,0.16,0.15,0.17,0.37,0.53,0.07,0.25,0.0,0.41,0.17,0.22,0.13,0.31,0.31,0.01,0.5,0.52,0.21,0.47,0.13,0.03,0.42,0.11,0.56,10544.0703125
2004-01-06,0,71,0.77,28,7,12.838709677419354,0.12,0.16,0.21,0.47,0.5,0.18,0.46,0.0,0.17,0.32,0.39,0.39,0.24,0.06,0.22,0.37,0.39,0.54,0.86,0.24,0.06,0.11,0.0,0.14,0.57,0.83,0.01,0.32,0.07,0.57,0.56,0.07,0.17,0.27,0.03,0.61,0.17,0.14,0.35,0.36,0.23,0.3,0.3,0.22,0.46,0.07,0.19,0.31,0.12,0.06,0.15,0.17,0.72,0.1,0.12,0.16,0.24,0.32,0.04,0.24,0.21,0.34,0.25,0.01,0.17,0.13,0.33,0.09,0.44,0.23,0.19,0.16,0.28,0.57,0.09,0.5,0.01,0.36,0.27,0.26,0.14,0.29,0.23,0.01,0.45,0.24,0.25,0.4,0.15,0.06,0.41,0.22,0.39,10538.66015625
2004-01-07,0,46,0.65,19,4,12.806451612903226,0.12,0.16,0.2,0.45,0.47,0.16,0.63,0.0,0.1,0.36,0.37,0.38,0.25,0.04,0.2,0.65,0.44,0.7,0.86,0.23,0.06,0.19,0.0,0.14,0.64,0.65,0.01,0.36,0.09,0.49,0.41,0.09,0.18,0.34,0.04,0.59,0.19,0.1,0.26,0.49,0.11,0.24,0.29,0.25,0.42,0.05,0.19,0.3,0.14,0.05,0.14,0.11,0.49,0.11,0.1,0.15,0.25,0.35,0.05,0.19,0.11,0.37,0.27,0.01,0.37,0.23,0.27,0.13,0.4,0.22,0.28,0.15,0.29,0.73,0.07,0.4,0.0,0.27,0.29,0.15,0.14,0.36,0.24,0.09,0.46,0.46,0.21,0.41,0.16,0.04,0.37,0.24,0.44,10529.0302734375
2004-01-08,0,75,1.63,31,7,12.774193548387096,0.11,0.17,0.23,0.52,0.58,0.16,0.83,0.0,0.1,0.36,0.37,0.25,0.27,0.05,0.22,0.55,0.32,0.6,0.69,0.11,0.05,0.13,0.0,0.19,0.31,0.69,0.24,0.39,0.09,0.53,0.61,0.06,0.17,0.36,0.03,0.6,0.21,0.29,0.25,0.36,0.15,0.27,0.28,0.17,0.42,0.07,0.12,0.31,0.21,0.05,0.12,0.18,0.56,0.09,0.13,0.16,0.28,0.39,0.04,0.18,0.07,0.38,0.26,0.01,0.13,0.2,0.27,0.18,0.42,0.22,0.25,0.17,0.31,0.53,0.11,0.45,0.0,0.24,0.18,0.24,0.14,0.27,0.22,0.29,0.45,0.4,0.26,0.12,0.14,0.03,0.39,0.24,0.42,10592.4404296875
2004-01-09,0,53,0.71,22,5,12.741935483870964,0.12,0.17,0.17,0.55,0.51,0.1,0.75,0.0,0.12,0.29,0.33,0.22,0.25,0.05,0.2,0.51,0.34,0.68,0.79,0.18,0.05,0.13,0.01,0.13,0.55,0.78,0.01,0.35,0.09,0.46,0.49,0.07,0.12,0.2,0.03,0.59,0.22,0.24,0.3,0.37,0.16,0.32,0.29,0.18,0.4,0.09,0.19,0.21,0.11,0.05,0.14,0.14,0.58,0.09,0.15,0.17,0.23,0.31,0.02,0.21,0.07,0.36,0.33,0.01,0.26,0.18,0.26,0.17,0.43,0.19,0.29,0.15,0.28,0.68,0.09,0.41,0.0,0.32,0.23,0.13,0.14,0.34,0.27,0.15,0.43,0.36,0.24,0.31,0.14,0.04,0.49,0.25,0.44,10458.8896484375
2004-01-10,0,29,0.55,12,3,12.709677419354836,0.08,0.18,0.16,0.57,0.18,0.11,0.45,0.0,0.06,0.09,0.29,0.23,0.26,0.02,0.22,0.36,0.3,0.42,0.48,0.15,0.04,0.12,0.0,0.16,0.4,0.7,0.26,0.33,0.11,0.34,0.74,0.05,0.13,0.24,0.04,0.67,0.1,0.19,0.16,0.57,0.21,0.18,0.31,0.11,0.42,0.07,0.16,0.24,0.11,0.05,0.14,0.13,0.25,0.09,0.12,0.18,0.2,0.15,0.02,0.15,0.01,0.3,0.46,0.0,0.2,0.13,0.17,0.09,0.36,0.12,0.24,0.19,0.36,0.63,0.04,0.31,0.0,0.5,0.25,0.24,0.13,0.31,0.31,0.15,0.5,0.14,0.33,0.01,0.15,0.03,0.5,0.09,0.56,10458.8896484375
