date,start,unadjusted,pct_change,adjusted,normalised,monthly,debt,color,stocks,restaurant,portfolio,inflation,housing,dow_jones,revenue,economics,credit,markets,return,unemployment,money,religion,cancer,growth,investment,hedge,marriage,bonds,derivatives,headlines,profit,society,leverage,loss,cash,office,fine,stock_market,banking,crisis,happy,car,nasdaq,gains,finance,sell,invest,fed,house,metals,travel,returns,gain,default,present,holiday,water,rich,risk,gold,success,oil,war,economy,chance,lifestyle,greed,food,movie,nyse,ore,opportunity,health,earnings,arts,culture,bubble,buy,trader,tourism,politics,energy,consume,consumption,freedom,dividend,world,conflict,kitchen,forex,home,transaction,garden,fond,train,labor,fun,environment,ring,close
2004-01-01,0,57,,23,5,13.0,7,14,21,61,26,11,31,0,5,23,28,40,45,3,19,50,28,59,47,24,4,14,1,16,27,62,1,25,700,27,74,9,15,45,8,59,16,18,13,54,0,15,32,19,43,5,24,17,16,7,11,18,34,12,9,15,17,16,4,13,24,34,56,0,40,8,16,12,38,17,30,24,37,66,10,20,0,33,26,1,15,40,38,31,56,28,36,38,20,2,60,11,50,10453.919921875
2004-01-02,0,56,0.98,23,5,12.967741935483868,13,15,24,49,47,6,69,0,8,15,41,28,30,3,25,33,23,39,55,17,4,16,0,17,45,60,1,41,1100,45,44,6,16,26,6,60,12,11,19,52,21,31,32,12,39,7,19,23,8,6,12,15,54,11,9,16,15,21,5,35,10,28,47,1,34,14,22,11,42,12,27,19,35,70,8,28,1,34,25,18,16,26,33,13,53,12,30,16,17,3,47,12,51,10409.849609375
2004-01-03,0,35,0.62,14,3,12.93548387096774,9,17,16,47,31,7,40,0,5,16,36,11,37,2,20,34,30,40,47,8,4,10,1,17,38,63,1,41,900,37,69,6,11,39,4,66,6,30,18,67,19,16,33,7,43,12,26,19,11,4,13,16,36,11,11,18,22,25,4,32,1,32,54,0,21,14,17,10,38,9,30,21,39,61,6,22,0,23,25,28,15,38,38,25,54,25,27,60,20,2,42,12,56,10409.849609375
2004-01-04,0,22,0.63,9,2,12.903225806451616,10,17,17,41,30,18,36,0,6,26,30,27,38,5,24,45,33,43,39,13,8,12,1,9,14,65,1,42,900,34,44,2,9,20,4,59,8,16,13,41,16,13,30,17,42,7,19,21,14,4,12,14,33,11,11,15,23,25,4,23,1,33,48,0,21,11,17,7,47,17,32,22,30,53,6,26,0,27,25,16,16,43,44,16,56,15,28,20,24,4,47,19,56,10409.849609375
2004-01-05,0,92,4.18,38,9,12.870967741935484,6,15,15,32,28,21,55,0,4,24,26,38,41,3,23,44,35,37,55,0,11,5,4,30,22,56,1,45,1000,37,45,7,9,20,2,62,20,1,13,49,22,15,32,11,46,5,20,40,35,6,14,13,22,11,16,13,25,21,5,16,1,33,45,0,50,19,22,23,55,16,15,17,37,53,7,25,0,41,17,22,13,31,31,1,50,52,21,47,13,3,42,11,56,10544.0703125
2004-01-06,0,71,0.77,28,7,12.838709677419354,12,16,21,47,50,18,46,0,17,32,39,39,24,6,22,37,39,54,86,24,6,11,0,14,56,83,1,32,700,56,56,7,17,27,3,61,17,14,35,36,23,30,30,22,46,7,19,31,12,6,15,17,72,10,12,16,24,32,4,24,21,34,25,1,17,13,33,9,44,23,19,16,28,56,9,50,1,36,27,26,14,28,23,1,45,24,25,40,15,6,41,22,39,10538.66015625
2004-01-07,0,46,0.65,19,4,12.806451612903226,12,16,20,45,47,16,63,0,10,36,37,38,25,4,20,65,44,70,86,23,6,19,0,14,64,65,1,36,900,49,41,9,18,34,4,59,19,10,26,49,11,24,28,25,42,5,19,30,14,5,14,11,49,11,10,15,25,35,5,19,11,37,27,1,37,23,27,13,40,22,28,15,28,73,7,40,0,27,28,15,14,36,24,9,46,46,21,41,16,4,37,24,44,10529.0302734375
2004-01-08,0,75,1.63,31,7,12.774193548387096,11,17,23,52,57,16,83,0,10,36,37,25,27,5,22,55,32,60,69,11,5,13,0,19,31,69,24,39,900,53,61,6,17,36,3,60,21,28,25,36,15,27,28,17,42,7,12,31,21,5,12,18,56,9,13,16,28,39,4,18,7,38,26,1,13,20,27,18,42,22,25,17,31,53,11,45,0,24,18,24,14,27,22,28,45,40,26,12,14,3,39,24,42,10592.4404296875
2004-01-09,0,53,0.71,22,5,12.741935483870964,12,17,17,55,51,10,75,0,12,28,33,22,25,5,20,51,34,68,79,18,5,13,1,13,55,78,1,35,900,46,49,7,12,20,3,59,22,24,30,37,16,32,28,18,40,9,19,21,11,5,14,14,57,9,15,17,23,31,2,21,7,36,33,1,26,18,26,17,43,19,28,15,28,68,9,41,0,32,23,13,14,34,27,15,43,36,24,31,14,4,49,25,44,10458.8896484375
2004-01-10,0,29,0.55,12,3,12.709677419354836,8,18,16,56,18,11,45,0,6,9,28,23,26,2,22,36,30,42,48,15,4,12,0,16,40,70,26,33,1100,34,74,5,13,24,4,67,10,19,16,56,21,18,31,11,42,7,16,24,11,5,14,13,25,9,12,18,20,15,2,15,1,30,46,0,20,13,17,9,36,12,24,19,36,63,4,31,0,50,25,24,13,31,31,15,50,14,33,1,15,3,50,9,56,10458.8896484375
