date,unadjusted
2004-01-01,89
2004-01-02,58
2004-01-03,58
2004-01-04,22
2004-01-05,76
2004-01-06,74
2004-01-07,95
2004-01-08,64
2004-01-09,68
2004-01-10,52
2004-01-11,42
2004-01-12,67
2004-01-13,47
2004-01-14,53
2004-01-15,68
2004-01-16,84
2004-01-17,45
2004-01-18,55
2004-01-19,80
2004-01-20,81
2004-01-21,78
2004-01-22,69
2004-01-23,61
2004-01-24,55
2004-01-25,61
2004-01-26,74
2004-01-27,61
2004-01-28,77
2004-01-29,65
2004-01-30,64
2004-01-31,32
2004-02-01,43
2004-02-02,100
2004-02-03,54
2004-02-04,67
2004-02-05,74
2004-02-06,77
2004-02-07,38
2004-02-08,39
2004-02-09,81
2004-02-10,55
2004-02-11,62
2004-02-12,88
2004-02-13,66
2004-02-14,30
2004-02-15,55
2004-02-16,56
2004-02-17,60
2004-02-18,82
2004-02-19,66
2004-02-20,60
2004-02-21,31
2004-02-22,53
2004-02-23,72
2004-02-24,70
2004-02-25,53
2004-02-26,65
2004-02-27,87
2004-02-28,29
2004-02-29,55
2004-03-01,68
2004-03-02,78
2004-03-03,92
2004-03-04,74
2004-03-05,85
2004-03-06,38
2004-03-07,64
2004-03-08,0
2004-03-09,0
2004-03-10,77
2004-03-11,35
2004-03-12,91
2004-03-13,43
2004-03-14,32
2004-03-15,52
2004-03-16,78
2004-03-17,54
2004-03-18,57
2004-03-19,44
2004-03-20,56
2004-03-21,42
2004-03-22,57
2004-03-23,0
2004-03-24,73
2004-03-25,56
2004-03-26,49
2004-03-27,13
2004-03-28,51
2004-03-29,61
2004-03-30,78
2004-03-31,75
2004-04-01,73
2004-04-02,50
2004-04-03,45
2004-04-04,38
2004-04-05,71
2004-04-06,81
2004-04-07,74
2004-04-08,76
2004-04-09,69
2004-04-10,30
2004-04-11,32
2004-04-12,0
2004-04-13,0
2004-04-14,56
2004-04-15,52
2004-04-16,43
2004-04-17,30
2004-04-18,52
2004-04-19,54
2004-04-20,63
2004-04-21,75
2004-04-22,62
2004-04-23,63
2004-04-24,27
2004-04-25,50
2004-04-26,60
2004-04-27,58
2004-04-28,61
2004-04-29,46
2004-04-30,55
2004-05-01,54
2004-05-02,64
2004-05-03,62
2004-05-04,51
2004-05-05,68
2004-05-06,46
2004-05-07,90
2004-05-08,44
2004-05-09,41
2004-05-10,84
2004-05-11,69
2004-05-12,65
2004-05-13,51
2004-05-14,51
2004-05-15,37
2004-05-16,56
2004-05-17,60
2004-05-18,72
2004-05-19,45
2004-05-20,63
2004-05-21,53
2004-05-22,13
2004-05-23,39
2004-05-24,53
2004-05-25,57
2004-05-26,53
2004-05-27,52
2004-05-28,55
2004-05-29,21
2004-05-30,26
2004-05-31,36
2004-06-01,52
2004-06-02,42
2004-06-03,42
2004-06-04,51
2004-06-05,23
2004-06-06,29
2004-06-07,84
2004-06-08,50
2004-06-09,61
2004-06-10,40
2004-06-11,39
2004-06-12,45
2004-06-13,52
2004-06-14,38
2004-06-15,54
2004-06-16,55
2004-06-17,43
2004-06-18,37
2004-06-19,38
2004-06-20,25
2004-06-21,46
2004-06-22,43
2004-06-23,51
2004-06-24,24
2004-06-25,33
2004-06-26,20
2004-06-27,22
2004-06-28,30
2004-06-29,41
2004-06-30,48
2004-07-01,38
2004-07-02,39
2004-07-03,43
2004-07-04,26
2004-07-05,44
2004-07-06,73
2004-07-07,62
2004-07-08,43
2004-07-09,46
2004-07-10,17
2004-07-11,58
2004-07-12,45
2004-07-13,51
2004-07-14,29
2004-07-15,43
2004-07-16,40
2004-07-17,46
2004-07-18,51
2004-07-19,35
2004-07-20,35
2004-07-21,36
2004-07-22,53
2004-07-23,35
2004-07-24,34
2004-07-25,23
2004-07-26,40
2004-07-27,38
2004-07-28,39
2004-07-29,47
2004-07-30,36
2004-07-31,40
2004-08-01,23
2004-08-02,29
2004-08-03,74
2004-08-04,45
2004-08-05,53
2004-08-06,85
2004-08-07,28
2004-08-08,35
2004-08-09,42
2004-08-10,63
2004-08-11,64
