Date,adjusted,unadjusted,monthly
2004-01-01,3,89,13.0
2004-01-02,3,58,12.96774193548387
2004-01-03,3,58,12.935483870967742
2004-01-04,2,22,12.903225806451612
2004-01-05,4,76,12.870967741935484
2004-01-06,3,74,12.838709677419354
2004-01-07,5,95,12.806451612903226
2004-01-08,3,64,12.774193548387096
2004-01-09,5,68,12.741935483870968
2004-01-10,3,52,12.709677419354838
2004-01-11,3,42,12.67741935483871
2004-01-12,5,67,12.64516129032258
2004-01-13,3,47,12.612903225806452
2004-01-14,4,53,12.580645161290322
2004-01-15,4,68,12.548387096774194
2004-01-16,4,84,12.516129032258064
2004-01-17,3,45,12.483870967741936
2004-01-18,4,55,12.451612903225806
2004-01-19,4,80,12.419354838709678
2004-01-20,4,81,12.387096774193548
2004-01-21,4,78,12.35483870967742
2004-01-22,5,69,12.32258064516129
2004-01-23,4,61,12.290322580645162
2004-01-24,4,55,12.258064516129032
2004-01-25,4,61,12.225806451612904
2004-01-26,4,74,12.193548387096774
2004-01-27,4,61,12.161290322580646
2004-01-28,5,77,12.129032258064516
2004-01-29,4,65,12.096774193548388
2004-01-30,4,64,12.064516129032258
2004-01-31,2,32,12.032258064516128
2004-02-01,3,43,12.0
2004-02-02,5,100,12.0
2004-02-03,3,54,12.0
2004-02-04,4,67,12.0
2004-02-05,4,74,12.0
2004-02-06,5,77,12.0
2004-02-07,2,38,12.0
2004-02-08,2,39,12.0
2004-02-09,3,81,12.0
2004-02-10,4,55,12.0
2004-02-11,4,62,12.0
2004-02-12,5,88,12.0
2004-02-13,4,66,12.0
2004-02-14,2,30,12.0
2004-02-15,3,55,12.0
2004-02-16,3,56,12.0
2004-02-17,3,60,12.0
2004-02-18,4,82,12.0
2004-02-19,3,66,12.0
2004-02-20,4,60,12.0
2004-02-21,2,31,12.0
2004-02-22,2,53,12.0
2004-02-23,4,72,12.0
2004-02-24,4,70,12.0
2004-02-25,4,53,12.0
2004-02-26,5,65,12.0
2004-02-27,4,87,12.0
2004-02-28,1,29,12.0
2004-02-29,3,55,12.0
2004-03-01,3,68,12.0
2004-03-02,5,78,11.96774193548387
2004-03-03,4,92,11.935483870967742
2004-03-04,4,74,11.903225806451612
2004-03-05,3,85,11.870967741935484
2004-03-06,2,38,11.838709677419354
2004-03-07,4,64,11.806451612903226
2004-03-08,4,64,11.806451612903226
2004-03-09,5,77,11.709677419354838
2004-03-10,5,77,11.709677419354838
2004-03-11,2,35,11.67741935483871
2004-03-12,5,91,11.64516129032258
2004-03-13,2,43,11.612903225806452
2004-03-14,3,32,11.580645161290322
2004-03-15,3,52,11.548387096774194
2004-03-16,4,78,11.516129032258064
2004-03-17,4,54,11.483870967741936
2004-03-18,3,57,11.451612903225806
2004-03-19,2,44,11.419354838709678
2004-03-20,3,56,11.387096774193548
2004-03-21,1,42,11.35483870967742
2004-03-22,2,57,11.32258064516129
2004-03-23,3,64,11.290322580645162
2004-03-24,4,73,11.258064516129032
2004-03-25,4,56,11.225806451612904
2004-03-26,4,49,11.193548387096774
2004-03-27,2,13,11.161290322580646
2004-03-28,2,51,11.129032258064516
2004-03-29,2,61,11.096774193548388
2004-03-30,3,78,11.064516129032258
2004-03-31,5,75,11.032258064516128
2004-04-01,4,73,11.0
2004-04-02,3,50,10.966666666666667
2004-04-03,2,45,10.933333333333334
2004-04-04,3,38,10.9
2004-04-05,3,71,10.866666666666667
2004-04-06,4,81,10.833333333333334
2004-04-07,3,74,10.8
2004-04-08,5,76,10.766666666666667
2004-04-09,5,69,10.733333333333333
2004-04-10,2,30,10.7
2004-04-11,4,32,10.666666666666666
2004-04-12,4,32,10.666666666666666
2004-04-13,3,56,10.566666666666666
2004-04-14,3,56,10.566666666666666
2004-04-15,2,52,10.533333333333333
2004-04-16,3,43,10.5
2004-04-17,2,30,10.466666666666667
2004-04-18,2,52,10.433333333333334
2004-04-19,3,54,10.4
2004-04-20,4,63,10.366666666666667
2004-04-21,3,75,10.333333333333334
2004-04-22,3,62,10.3
2004-04-23,3,63,10.266666666666667
2004-04-24,2,27,10.233333333333334
2004-04-25,3,50,10.2
2004-04-26,3,60,10.166666666666666
2004-04-27,4,58,10.133333333333333
2004-04-28,4,61,10.1
2004-04-29,3,46,10.066666666666666
2004-04-30,3,55,10.033333333333333
2004-05-01,1,54,10.0
2004-05-02,4,64,9.96774193548387
2004-05-03,3,62,9.935483870967742
2004-05-04,4,51,9.903225806451612
2004-05-05,3,68,9.870967741935484
2004-05-06,4,46,9.838709677419354
2004-05-07,4,90,9.806451612903226
2004-05-08,2,44,9.774193548387096
2004-05-09,2,41,9.741935483870968
2004-05-10,3,84,9.709677419354838
2004-05-11,3,69,9.67741935483871
2004-05-12,3,65,9.64516129032258
2004-05-13,4,51,9.612903225806452
2004-05-14,3,51,9.580645161290322
2004-05-15,2,37,9.548387096774194
2004-05-16,2,56,9.516129032258064
2004-05-17,4,60,9.483870967741936
2004-05-18,3,72,9.451612903225806
2004-05-19,3,45,9.419354838709678
2004-05-20,2,63,9.387096774193548
2004-05-21,3,53,9.35483870967742
2004-05-22,1,13,9.32258064516129
2004-05-23,2,39,9.290322580645162
2004-05-24,3,53,9.258064516129032
2004-05-25,3,57,9.225806451612904
2004-05-26,3,53,9.193548387096774
2004-05-27,4,52,9.161290322580646
2004-05-28,3,55,9.129032258064516
2004-05-29,2,21,9.096774193548388
2004-05-30,2,26,9.064516129032258
2004-05-31,1,36,9.032258064516128
2004-06-01,4,52,9.0
2004-06-02,3,42,8.966666666666667
2004-06-03,3,42,8.933333333333334
2004-06-04,2,51,8.9
2004-06-05,1,23,8.866666666666667
2004-06-06,2,29,8.833333333333334
2004-06-07,5,84,8.8
2004-06-08,2,50,8.766666666666667
2004-06-09,4,61,8.733333333333333
2004-06-10,2,40,8.7
2004-06-11,2,39,8.666666666666666
2004-06-12,3,45,8.633333333333333
2004-06-13,2,52,8.6
2004-06-14,2,38,8.566666666666666
2004-06-15,2,54,8.533333333333333
2004-06-16,3,55,8.5
2004-06-17,3,43,8.466666666666667
2004-06-18,2,37,8.433333333333334
2004-06-19,3,38,8.4
2004-06-20,1,25,8.366666666666667
2004-06-21,2,46,8.333333333333334
2004-06-22,3,43,8.3
2004-06-23,2,51,8.266666666666667
2004-06-24,2,24,8.233333333333334
2004-06-25,3,33,8.2
2004-06-26,1,20,8.166666666666666
2004-06-27,2,22,8.133333333333333
2004-06-28,3,30,8.1
2004-06-29,4,41,8.066666666666666
2004-06-30,3,48,8.033333333333333
2004-07-01,1,38,8.0
2004-07-02,1,39,8.0
2004-07-03,1,43,8.0
2004-07-04,1,26,8.0
2004-07-05,1,44,8.0
2004-07-06,1,73,8.0
2004-07-07,1,62,8.0
2004-07-08,1,43,8.0
2004-07-09,1,46,8.0
2004-07-10,1,17,8.0
2004-07-11,1,58,8.0
2004-07-12,1,45,8.0
2004-07-13,1,51,8.0
2004-07-14,1,29,8.0
2004-07-15,1,43,8.0
2004-07-16,1,40,8.0
2004-07-17,1,46,8.0
2004-07-18,1,51,8.0
2004-07-19,1,35,8.0
2004-07-20,1,35,8.0
2004-07-21,1,36,8.0
2004-07-22,1,53,8.0
2004-07-23,1,35,8.0
2004-07-24,1,34,8.0
2004-07-25,1,23,8.0
2004-07-26,1,40,8.0
2004-07-27,1,38,8.0
2004-07-28,1,39,8.0
2004-07-29,1,47,8.0
2004-07-30,1,36,8.0
2004-07-31,1,40,8.0
2004-08-01,1,23,8.0
2004-08-02,1,29,8.03225806451613
2004-08-03,1,74,8.064516129032258
2004-08-04,1,45,8.096774193548388
2004-08-05,1,53,8.129032258064516
2004-08-06,1,85,8.161290322580646
2004-08-07,1,28,8.193548387096774
2004-08-08,1,35,8.225806451612904
2004-08-09,1,42,8.258064516129032
2004-08-10,1,63,8.290322580645162
2004-08-11,1,64,8.32258064516129
2004-08-12,1,42,8.35483870967742
2004-08-13,1,68,8.387096774193548
2004-08-14,1,33,8.419354838709678
2004-08-15,1,45,8.451612903225806
2004-08-16,1,29,8.483870967741936
2004-08-17,1,63,8.516129032258064
2004-08-18,1,42,8.548387096774194
2004-08-19,1,58,8.580645161290322
2004-08-20,1,48,8.612903225806452
2004-08-21,1,21,8.64516129032258
2004-08-22,0,17,8.67741935483871
2004-08-23,1,34,8.709677419354838
2004-08-24,1,40,8.741935483870968
2004-08-25,1,40,8.774193548387096
2004-08-26,1,44,8.806451612903226
2004-08-27,1,40,8.838709677419354
2004-08-28,1,42,8.870967741935484
2004-08-29,1,26,8.903225806451612
2004-08-30,1,45,8.935483870967742
2004-08-31,1,48,8.967741935483872
2004-09-01,1,55,9.0
2004-09-02,1,44,9.066666666666666
2004-09-03,1,55,9.133333333333333
2004-09-04,1,27,9.2
2004-09-05,1,39,9.266666666666667
2004-09-06,1,28,9.333333333333334
2004-09-07,1,51,9.4
2004-09-08,1,49,9.466666666666667
2004-09-09,1,58,9.533333333333333
2004-09-10,1,50,9.6
2004-09-11,1,45,9.666666666666666
2004-09-12,1,53,9.733333333333333
2004-09-13,1,28,9.8
2004-09-14,1,62,9.866666666666667
2004-09-15,1,60,9.933333333333334
2004-09-16,1,53,10.0
2004-09-17,1,34,10.066666666666666
2004-09-18,1,54,10.133333333333333
2004-09-19,0,14,10.2
2004-09-20,1,43,10.266666666666666
2004-09-21,1,64,10.333333333333334
