Date,start,adjusted,unadjusted,monthly
2004-01-01,0,3,89,13.0
2004-01-02,0,3,58,12.967741935483868
2004-01-03,0,3,58,12.93548387096774
2004-01-04,0,2,22,12.903225806451614
2004-01-05,0,4,76,12.870967741935484
2004-01-06,0,3,74,12.838709677419354
2004-01-07,0,5,95,12.806451612903226
2004-01-08,0,3,64,12.774193548387096
2004-01-09,0,5,68,12.741935483870966
2004-01-10,0,3,52,12.709677419354836
2004-01-11,0,3,42,12.67741935483871
2004-01-12,0,5,67,12.64516129032258
2004-01-13,0,3,47,12.612903225806454
2004-01-14,0,4,53,12.580645161290322
2004-01-15,0,4,68,12.548387096774194
2004-01-16,0,4,84,12.516129032258064
2004-01-17,0,3,45,12.483870967741936
2004-01-18,0,4,55,12.451612903225806
2004-01-19,0,4,80,12.419354838709678
2004-01-20,0,4,81,12.387096774193546
2004-01-21,0,4,78,12.35483870967742
2004-01-22,0,5,69,12.32258064516129
2004-01-23,0,4,61,12.290322580645164
2004-01-24,0,4,55,12.258064516129034
2004-01-25,0,4,61,12.225806451612904
2004-01-26,0,4,74,12.193548387096774
2004-01-27,0,4,61,12.161290322580646
2004-01-28,0,5,77,12.129032258064516
2004-01-29,0,4,65,12.096774193548386
2004-01-30,0,4,64,12.06451612903226
2004-01-31,0,2,32,12.032258064516126
2004-02-01,0,3,43,12.0
2004-02-02,0,5,100,12.0
2004-02-03,0,3,54,12.0
2004-02-04,0,4,67,12.0
2004-02-05,0,4,74,12.0
2004-02-06,0,5,77,12.0
2004-02-07,0,2,38,12.0
2004-02-08,0,2,39,12.0
2004-02-09,0,3,81,12.0
2004-02-10,0,4,55,12.0
2004-02-11,0,4,62,12.0
2004-02-12,0,5,88,12.0
2004-02-13,0,4,66,12.0
2004-02-14,0,2,30,12.0
2004-02-15,0,3,55,12.0
2004-02-16,0,3,56,12.0
2004-02-17,0,3,60,12.0
2004-02-18,0,4,82,12.0
2004-02-19,0,3,66,12.0
2004-02-20,0,4,60,12.0
2004-02-21,0,2,31,12.0
2004-02-22,0,2,53,12.0
2004-02-23,0,4,72,12.0
2004-02-24,0,4,70,12.0
2004-02-25,0,4,53,12.0
2004-02-26,0,5,65,12.0
2004-02-27,0,4,87,12.0
2004-02-28,0,1,29,12.0
2004-02-29,0,3,55,12.0
2004-03-01,0,3,68,12.0
2004-03-02,0,5,78,11.967741935483868
2004-03-03,0,4,92,11.93548387096774
2004-03-04,0,4,74,11.903225806451614
2004-03-05,0,3,85,11.870967741935484
2004-03-06,0,2,38,11.838709677419354
2004-03-07,0,4,64,11.806451612903226
2004-03-08,0,4,64,11.806451612903226
2004-03-09,0,5,77,11.709677419354836
2004-03-10,0,5,77,11.709677419354836
2004-03-11,0,2,35,11.67741935483871
2004-03-12,0,5,91,11.64516129032258
2004-03-13,0,2,43,11.612903225806454
2004-03-14,0,3,32,11.580645161290322
2004-03-15,0,3,52,11.548387096774194
2004-03-16,0,4,78,11.516129032258064
2004-03-17,0,4,54,11.483870967741936
2004-03-18,0,3,57,11.451612903225806
2004-03-19,0,2,44,11.419354838709678
2004-03-20,0,3,56,11.387096774193546
2004-03-21,0,1,42,11.35483870967742
2004-03-22,0,2,57,11.32258064516129
2004-03-23,0,3,64,11.290322580645164
2004-03-24,0,4,73,11.258064516129034
2004-03-25,0,4,56,11.225806451612904
2004-03-26,0,4,49,11.193548387096774
2004-03-27,0,2,13,11.161290322580648
2004-03-28,0,2,51,11.129032258064516
2004-03-29,0,2,61,11.096774193548386
2004-03-30,0,3,78,11.06451612903226
2004-03-31,0,5,75,11.032258064516126
2004-04-01,0,4,73,11.0
2004-04-02,0,3,50,10.966666666666667
2004-04-03,0,2,45,10.933333333333335
2004-04-04,0,3,38,10.9
2004-04-05,0,3,71,10.866666666666667
2004-04-06,0,4,81,10.833333333333336
2004-04-07,0,3,74,10.8
2004-04-08,0,5,76,10.766666666666667
2004-04-09,0,5,69,10.733333333333333
2004-04-10,0,2,30,10.7
2004-04-11,0,4,32,10.666666666666666
2004-04-12,0,4,32,10.666666666666666
2004-04-13,0,3,56,10.566666666666666
2004-04-14,0,3,56,10.566666666666666
2004-04-15,0,2,52,10.533333333333333
2004-04-16,0,3,43,10.5
2004-04-17,0,2,30,10.466666666666667
2004-04-18,0,2,52,10.433333333333334
2004-04-19,0,3,54,10.4
2004-04-20,0,4,63,10.366666666666667
2004-04-21,0,3,75,10.333333333333334
2004-04-22,0,3,62,10.3
2004-04-23,0,3,63,10.266666666666667
2004-04-24,0,2,27,10.233333333333334
2004-04-25,0,3,50,10.2
2004-04-26,0,3,60,10.166666666666666
2004-04-27,0,4,58,10.133333333333333
2004-04-28,0,4,61,10.1
2004-04-29,0,3,46,10.066666666666666
2004-04-30,0,3,55,10.033333333333333
2004-05-01,0,1,54,10.0
2004-05-02,0,4,64,9.96774193548387
2004-05-03,0,3,62,9.935483870967742
2004-05-04,0,4,51,9.903225806451612
2004-05-05,0,3,68,9.870967741935484
2004-05-06,0,4,46,9.838709677419354
2004-05-07,0,4,90,9.806451612903226
2004-05-08,0,2,44,9.774193548387096
2004-05-09,0,2,41,9.741935483870966
2004-05-10,0,3,84,9.709677419354838
2004-05-11,0,3,69,9.677419354838712
2004-05-12,0,3,65,9.64516129032258
2004-05-13,0,4,51,9.612903225806454
2004-05-14,0,3,51,9.580645161290322
2004-05-15,0,2,37,9.548387096774192
2004-05-16,0,2,56,9.516129032258064
2004-05-17,0,4,60,9.483870967741936
2004-05-18,0,3,72,9.451612903225808
2004-05-19,0,3,45,9.419354838709678
2004-05-20,0,2,63,9.387096774193546
2004-05-21,0,3,53,9.35483870967742
2004-05-22,0,1,13,9.322580645161288
2004-05-23,0,2,39,9.290322580645162
2004-05-24,0,3,53,9.258064516129034
2004-05-25,0,3,57,9.225806451612904
2004-05-26,0,3,53,9.193548387096774
2004-05-27,0,4,52,9.161290322580646
2004-05-28,0,3,55,9.129032258064516
2004-05-29,0,2,21,9.096774193548388
2004-05-30,0,2,26,9.064516129032258
2004-05-31,0,1,36,9.032258064516126
2004-06-01,0,4,52,9.0
2004-06-02,0,3,42,8.966666666666667
2004-06-03,0,3,42,8.933333333333334
2004-06-04,0,2,51,8.9
2004-06-05,0,1,23,8.866666666666667
2004-06-06,0,2,29,8.833333333333334
2004-06-07,0,5,84,8.8
2004-06-08,0,2,50,8.766666666666667
2004-06-09,0,4,61,8.733333333333333
2004-06-10,0,2,40,8.7
2004-06-11,0,2,39,8.666666666666666
2004-06-12,0,3,45,8.633333333333333
2004-06-13,0,2,52,8.6
2004-06-14,0,2,38,8.566666666666666
2004-06-15,0,2,54,8.533333333333333
2004-06-16,0,3,55,8.5
2004-06-17,0,3,43,8.466666666666667
2004-06-18,0,2,37,8.433333333333334
2004-06-19,0,3,38,8.4
2004-06-20,0,1,25,8.366666666666667
2004-06-21,0,2,46,8.333333333333334
2004-06-22,0,3,43,8.3
2004-06-23,0,2,51,8.266666666666667
2004-06-24,0,2,24,8.233333333333334
2004-06-25,0,3,33,8.2
2004-06-26,0,1,20,8.166666666666666
2004-06-27,0,2,22,8.133333333333333
2004-06-28,0,3,30,8.1
2004-06-29,0,4,41,8.066666666666666
2004-06-30,0,3,48,8.033333333333333
2004-07-01,0,1,38,8.0
2004-07-02,0,1,39,8.0
2004-07-03,0,1,43,8.0
2004-07-04,0,1,26,8.0
2004-07-05,0,1,44,8.0
2004-07-06,0,1,73,8.0
2004-07-07,0,1,62,8.0
2004-07-08,0,1,43,8.0
2004-07-09,0,1,46,8.0
2004-07-10,0,1,17,8.0
2004-07-11,0,1,58,8.0
2004-07-12,0,1,45,8.0
2004-07-13,0,1,51,8.0
2004-07-14,0,1,29,8.0
2004-07-15,0,1,43,8.0
2004-07-16,0,1,40,8.0
2004-07-17,0,1,46,8.0
2004-07-18,0,1,51,8.0
2004-07-19,0,1,35,8.0
2004-07-20,0,1,35,8.0
2004-07-21,0,1,36,8.0
2004-07-22,0,1,53,8.0
2004-07-23,0,1,35,8.0
2004-07-24,0,1,34,8.0
2004-07-25,0,1,23,8.0
2004-07-26,0,1,40,8.0
2004-07-27,0,1,38,8.0
2004-07-28,0,1,39,8.0
2004-07-29,0,1,47,8.0
2004-07-30,0,1,36,8.0
2004-07-31,0,1,40,8.0
2004-08-01,0,1,23,8.0
2004-08-02,0,1,29,8.03225806451613
2004-08-03,0,1,74,8.064516129032258
2004-08-04,0,1,45,8.096774193548388
2004-08-05,0,1,53,8.129032258064516
2004-08-06,0,1,85,8.161290322580646
2004-08-07,0,1,28,8.193548387096774
2004-08-08,0,1,35,8.225806451612902
2004-08-09,0,1,42,8.258064516129032
2004-08-10,0,1,63,8.290322580645162
2004-08-11,0,1,64,8.32258064516129
2004-08-12,0,1,42,8.35483870967742
2004-08-13,0,1,68,8.387096774193548
2004-08-14,0,1,33,8.419354838709678
2004-08-15,0,1,45,8.451612903225808
2004-08-16,0,1,29,8.483870967741936
2004-08-17,0,1,63,8.516129032258064
2004-08-18,0,1,42,8.548387096774192
2004-08-19,0,1,58,8.580645161290322
2004-08-20,0,1,48,8.612903225806452
2004-08-21,0,1,21,8.64516129032258
2004-08-22,0,0,17,8.67741935483871
2004-08-23,0,1,34,8.709677419354838
2004-08-24,0,1,40,8.741935483870968
2004-08-25,0,1,40,8.774193548387098
2004-08-26,0,1,44,8.806451612903226
2004-08-27,0,1,40,8.838709677419354
2004-08-28,0,1,42,8.870967741935484
2004-08-29,0,1,26,8.903225806451612
2004-08-30,0,1,45,8.935483870967742
2004-08-31,0,1,48,8.967741935483874
2004-09-01,0,1,55,9.0
2004-09-02,0,1,44,9.066666666666666
2004-09-03,0,1,55,9.133333333333333
2004-09-04,0,1,27,9.2
2004-09-05,0,1,39,9.266666666666667
2004-09-06,0,1,28,9.333333333333334
2004-09-07,0,1,51,9.4
2004-09-08,0,1,49,9.466666666666667
2004-09-09,0,1,58,9.533333333333333
2004-09-10,0,1,50,9.6
2004-09-11,0,1,45,9.666666666666666
2004-09-12,0,1,53,9.733333333333333
2004-09-13,0,1,28,9.8
2004-09-14,0,1,62,9.866666666666667
2004-09-15,0,1,60,9.933333333333334
2004-09-16,0,1,53,10.0
2004-09-17,0,1,34,10.066666666666666
2004-09-18,0,1,54,10.133333333333333
2004-09-19,0,0,14,10.2
2004-09-20,0,1,43,10.266666666666666
2004-09-21,0,1,64,10.333333333333334
2004-09-22,0,1,71,10.4
2004-09-23,0,1,40,10.466666666666667
2004-09-24,0,1,77,10.533333333333333
2004-09-25,0,1,40,10.6
2004-09-26,0,1,44,10.666666666666666
2004-09-27,0,1,53,10.733333333333334
2004-09-28,0,1,43,10.8
2004-09-29,0,1,86,10.866666666666667
2004-09-30,0,1,78,10.933333333333335
2004-10-01,0,1,69,11.0
2004-10-02,0,1,29,11.032258064516132
2004-10-03,0,1,38,11.06451612903226
2004-10-04,0,2,84,11.096774193548386
2004-10-05,0,1,58,11.129032258064516
2004-10-06,0,1,74,11.161290322580648
2004-10-07,0,1,67,11.193548387096774
2004-10-08,0,1,62,11.225806451612904
2004-10-09,0,1,46,11.258064516129034
2004-10-10,0,1,68,11.290322580645164
2004-10-11,0,2,58,11.32258064516129
2004-10-12,0,1,46,11.35483870967742
2004-10-13,0,2,70,11.387096774193546
2004-10-14,0,1,82,11.419354838709678
